user_id,prod_id,uid,pid,rating,label_binary,date
204640,4800,34020,3551,3.0,0,2013-09-09
93500,1859,20651,1366,4.0,0,2008-04-21
146944,702,27892,529,5.0,0,2013-06-21
15998,4448,3783,3290,5.0,0,2008-07-27
54798,5027,13778,3722,5.0,0,2014-03-15
182410,3670,31824,2712,4.0,0,2012-03-28
8249,1519,1039,1112,4.0,0,2007-07-09
56184,2544,14045,1887,4.0,0,2009-12-11
214992,3759,34963,2780,4.0,0,2014-08-13
6463,4220,391,3115,4.0,0,2014-02-05
37029,348,9846,256,3.0,0,2011-01-02
229712,4083,36303,3014,5.0,0,2014-05-29
7871,2893,885,2149,4.0,0,2012-07-01
196892,3844,33274,2840,5.0,0,2014-11-20
176763,2875,31248,2134,5.0,0,2014-11-03
60559,1020,14922,752,5.0,0,2014-04-07
28155,192,7499,147,4.0,0,2014-07-31
149620,2255,28219,1677,4.0,0,2014-07-07
32872,3864,8802,2855,5.0,0,2014-11-12
60572,4764,14925,3525,5.0,0,2014-09-03
12385,59,2544,42,4.0,0,2014-05-26
58699,651,14544,495,4.0,0,2013-10-22
132595,3227,26121,2380,1.0,1,2013-09-23
124621,2313,25061,1720,5.0,0,2011-01-18
48779,1464,12499,1076,1.0,0,2013-04-18
44568,1107,11603,816,4.0,0,2013-08-16
50607,1416,12911,1038,3.0,0,2011-10-11
18898,3708,4734,2740,4.0,0,2012-05-27
35386,3501,9400,2586,5.0,0,2014-11-18
143035,2127,27447,1578,5.0,0,2011-04-16
168942,2972,30426,2198,5.0,0,2008-06-21
203162,4122,33877,3042,5.0,0,2014-04-26
105080,3787,22293,2800,4.0,0,2014-01-18
6889,56,512,40,5.0,0,2013-10-08
8197,4644,1020,3434,5.0,0,2009-10-09
35096,3044,9353,2247,4.0,0,2013-09-02
250180,4685,38065,3462,1.0,1,2013-09-03
5471,3251,132,2394,3.0,0,2013-11-16
78464,966,18266,714,1.0,1,2012-06-06
145407,4800,27721,3551,1.0,0,2009-09-28
197096,2999,33302,2218,5.0,1,2013-06-21
13702,708,3016,534,4.0,0,2012-08-06
134951,1431,26434,1052,3.0,0,2012-09-19
57578,1023,14332,755,4.0,0,2009-02-24
104657,1412,22240,1036,4.0,1,2014-08-25
8170,4204,1006,3105,3.0,0,2011-07-26
39780,1136,10517,835,4.0,0,2013-05-17
98219,4413,21322,3263,5.0,0,2013-02-02
105942,4223,22460,3117,5.0,0,2009-09-29
8016,3876,947,2865,5.0,0,2009-08-11
69941,839,16718,624,4.0,0,2014-04-30
82077,4648,18860,3438,5.0,0,2014-06-08
55687,1891,13965,1391,4.0,0,2012-07-03
20069,3237,5097,2387,4.0,0,2013-02-02
41080,3495,10790,2581,4.0,1,2012-01-11
246819,2256,37771,1678,4.0,0,2014-05-02
5320,2628,79,1943,5.0,0,2013-03-18
149735,2262,28234,1682,1.0,1,2013-07-04
13772,71,3043,52,3.0,0,2013-10-14
253916,4733,38406,3502,3.0,0,2011-05-09
82976,1087,19022,802,5.0,0,2012-07-16
63847,4724,15581,3494,4.0,0,2008-04-14
15193,682,3496,517,2.0,0,2011-12-24
122159,3806,24722,2812,5.0,0,2014-07-28
99026,1340,21464,975,5.0,0,2013-05-19
90220,3864,20164,2855,4.0,0,2009-09-21
20255,1295,5162,944,4.0,0,2013-02-22
114600,2023,23696,1498,4.0,0,2009-08-02
31983,3461,8578,2555,2.0,0,2011-02-01
35918,476,9528,358,1.0,1,2012-10-03
72566,137,17183,101,3.0,0,2014-08-19
68452,2918,16422,2171,3.0,0,2013-10-26
242892,1532,37442,1123,1.0,0,2014-12-09
53794,3166,13587,2332,4.0,0,2011-10-08
10932,1510,2024,1107,4.0,0,2010-02-04
22591,134,6034,98,5.0,1,2010-08-11
10640,1360,1903,994,4.0,0,2009-07-11
137225,3534,26731,2612,5.0,0,2014-11-28
247677,4607,37840,3406,1.0,0,2014-08-09
21876,128,5793,94,5.0,0,2014-01-03
11502,1129,2195,830,5.0,0,2014-09-26
11974,4348,2390,3218,2.0,0,2009-05-19
17268,109,4161,80,5.0,1,2010-11-10
13237,3182,2869,2346,4.0,0,2015-01-05
24600,797,6553,595,4.0,0,2010-09-21
70213,2058,16772,1522,4.0,0,2014-08-05
44528,787,11592,588,4.0,0,2013-11-03
131795,4614,26020,3411,1.0,1,2011-11-05
123407,1780,24886,1307,5.0,0,2014-05-04
205878,3999,34131,2955,2.0,0,2014-10-04
109860,3495,23018,2581,5.0,0,2010-10-16
40373,380,10635,284,4.0,0,2012-10-16
184872,3082,32042,2272,4.0,1,2009-11-07
96096,3003,21034,2220,5.0,0,2013-10-05
15421,4342,3582,3214,5.0,0,2012-11-17
53399,554,13514,416,3.0,0,2011-07-12
96712,4010,21144,2962,4.0,0,2011-07-05
74586,1809,17570,1325,5.0,0,2013-12-08
29306,3389,7822,2508,3.0,1,2014-03-20
119579,1677,24353,1226,4.0,0,2012-02-02
21268,677,5546,513,4.0,0,2013-06-28
185202,3094,32075,2278,5.0,0,2011-08-12
7466,4672,731,3456,2.0,0,2011-08-31
10807,3293,1967,2428,4.0,0,2013-06-04
241783,1360,37340,994,3.0,0,2010-01-30
33288,4600,8888,3401,4.0,1,2012-05-23
38088,658,10096,501,4.0,0,2013-02-05
80599,3217,18649,2374,4.0,0,2014-10-09
10925,3306,2021,2438,2.0,0,2009-09-23
204895,2681,34046,1981,3.0,1,2012-02-04
88216,3176,19831,2340,4.0,0,2014-02-15
43790,4413,11426,3263,5.0,0,2012-07-24
82455,3837,18911,2834,3.0,0,2013-04-28
22250,828,5917,617,4.0,0,2011-06-16
37048,4704,9853,3478,5.0,1,2010-02-20
105262,4223,22331,3117,4.0,0,2013-07-30
27912,1156,7424,849,4.0,0,2011-04-08
223340,3306,35736,2438,5.0,1,2010-06-25
78319,1341,18237,976,2.0,0,2009-05-13
63766,3495,15566,2581,5.0,0,2012-07-09
5582,2231,183,1656,2.0,0,2012-08-19
13202,66,2863,47,4.0,0,2014-02-22
252238,4698,38247,3473,5.0,0,2013-05-31
115806,4453,23864,3293,3.0,0,2014-03-29
36752,1859,9766,1366,4.0,0,2012-08-13
15340,3181,3552,2345,4.0,0,2013-03-30
116571,1638,23968,1200,1.0,1,2014-07-07
62602,4223,15326,3117,4.0,0,2009-04-10
41589,899,10925,664,5.0,0,2013-11-22
9300,2008,1392,1487,5.0,0,2014-07-04
140061,2079,27106,1540,5.0,0,2011-03-16
152632,2294,28567,1706,5.0,0,2011-03-02
210635,3693,34568,2731,5.0,0,2014-09-04
245537,4540,37676,3356,5.0,0,2014-08-30
56554,3972,14117,2938,3.0,0,2014-08-13
74523,1151,17552,844,5.0,0,2013-01-17
32207,4646,8631,3436,5.0,0,2012-02-29
45137,4083,11722,3014,5.0,0,2012-04-11
26460,4137,7018,3051,3.0,0,2011-07-26
52196,4776,13230,3533,3.0,0,2011-10-02
65080,2642,15793,1954,5.0,1,2012-07-19
11782,4897,2309,3625,2.0,0,2012-05-24
58055,5027,14432,3722,4.0,0,2014-08-09
65479,781,15865,583,4.0,0,2014-07-17
113452,1574,23513,1152,4.0,0,2014-02-20
203870,3491,33941,2578,4.0,0,2013-11-08
213123,3745,34778,2769,4.0,0,2014-06-20
188888,3180,32431,2344,5.0,0,2011-04-24
142827,2127,27417,1578,5.0,0,2013-05-19
200254,3329,33608,2457,5.0,0,2013-03-28
24727,151,6582,114,1.0,1,2014-03-09
10807,3328,1967,2456,5.0,0,2013-11-25
29988,944,8002,696,3.0,0,2010-02-15
104173,2605,22163,1927,5.0,0,2013-10-08
56273,3538,14069,2615,5.0,0,2013-08-03
247489,4735,37818,3504,4.0,0,2014-08-13
48037,495,12350,374,5.0,0,2010-09-06
27731,1241,7369,905,2.0,0,2014-05-29
116138,3136,23913,2311,3.0,0,2009-01-11
235183,4183,36784,3086,4.0,0,2014-04-29
19181,1859,4855,1366,3.0,0,2009-10-12
97458,3001,21227,2219,3.0,0,2011-09-07
45809,470,11859,352,5.0,0,2014-05-04
128042,4698,25505,3473,5.0,0,2014-11-01
200708,3343,33654,2469,2.0,0,2014-03-22
250808,4692,38125,3469,4.0,0,2009-06-29
26153,2429,6923,1800,1.0,0,2014-03-01
7679,9,810,6,1.0,0,2011-01-28
85760,1100,19440,813,5.0,1,2014-04-08
140981,2095,27209,1552,1.0,0,2014-06-06
49936,503,12770,380,1.0,0,2014-04-20
83183,825,19061,615,2.0,0,2014-08-02
8269,3618,1051,2672,2.0,0,2007-07-21
36915,3293,9810,2428,5.0,0,2011-11-18
121766,1857,24664,1364,5.0,0,2013-06-11
11051,1579,2064,1156,5.0,0,2012-01-21
64254,4617,15649,3414,5.0,0,2014-11-11
11049,3767,2063,2785,4.0,0,2010-10-18
211001,3708,34598,2740,2.0,0,2012-06-01
60374,685,14884,519,5.0,0,2014-10-12
7315,5030,673,3725,4.0,0,2012-10-24
35540,320,9445,236,4.0,0,2014-08-12
20609,127,5292,93,5.0,0,2012-06-16
13296,4083,2884,3014,4.0,0,2011-04-15
87687,3544,19747,2616,4.0,1,2013-01-21
25104,1950,6632,1439,4.0,0,2014-12-09
82568,4363,18933,3228,2.0,1,2011-11-13
53941,566,13618,426,1.0,1,2010-12-06
67098,4596,16178,3398,3.0,0,2013-09-12
5722,2146,259,1593,5.0,0,2010-04-28
72330,3966,17137,2933,5.0,0,2014-01-22
50767,1451,12958,1068,5.0,0,2014-02-22
140184,2533,27120,1880,5.0,0,2014-04-24
64658,776,15719,578,3.0,0,2009-06-14
226672,3442,36046,2542,5.0,0,2014-11-10
45246,1295,11754,944,4.0,0,2008-02-10
98020,1328,21299,965,5.0,1,2013-06-26
44010,3760,11470,2781,5.0,0,2011-04-13
106365,2005,22535,1485,5.0,0,2013-02-09
171440,4707,30681,3481,5.0,0,2009-08-30
31124,4513,8355,3337,5.0,0,2007-06-06
69683,140,16670,104,1.0,1,2014-09-14
11788,1597,2312,1169,3.0,0,2013-05-24
63872,1985,15585,1468,5.0,0,2013-04-22
84074,1048,19178,776,4.0,0,2008-09-28
9616,3745,1516,2769,3.0,0,2010-07-25
16501,940,3911,693,5.0,1,2013-08-10
12806,4549,2724,3363,2.0,0,2014-04-29
23105,139,6132,103,5.0,0,2014-09-22
96447,1927,21100,1422,4.0,0,2014-07-31
169389,1306,30466,951,5.0,1,2011-07-06
183987,924,31969,683,2.0,0,2012-08-19
28831,1721,7679,1260,4.0,0,2011-05-28
